Neutralizing natural remaining pigment 

Level,Description,Color Code
10,violet,.2
9,violet,.2
8,blue/violet,.1/.2
7,blue,.1
6,blue/green,.1/.7
5,green,.7
4,green,.7
3,green,.7
2,green,.7
1,green,.7
