Red formulation 

Desired Result,Formula,Natural (g),Pre-Blended (g),Intensified Base (g),PUSH Tone (1-included, 0-not included, 2-doubled)
NATURAL red,1,40,0,0,1
NATURAL red,2,0,40,0,1
NATURAL red,3,20,20,0,0
VIBRANT red,1,20,20,0,1
VIBRANT red,2,20,0,20,0
VIBRANT red,3,0,40,0,1
VIBRANT red,4,0,20,20,0
INTENSE red,1,0,20,20,2
INTENSE red,2,0,10,30,0
INTENSE red,3,0,0,40,2
INTENSE red,4,0,0,40,0
INTENSE red,5,0,0,0,1
